Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 3,Esn 1,Device Type 4,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-01 09:32:16,2022-11-07 12:57:43,
User 1,Esn 6,Device Type 0,2021-12-24 14:40:29,2022-10-06 17:29:04,2021-12-24 14:40:29,2022-10-06 17:29:04,,,,,
User 2,Esn 6,Device Type 0,2021-12-24 14:40:29,2022-10-06 17:29:04,2021-12-24 14:40:29,2022-10-06 17:29:04,,,,,
User 3,Esn 6,Device Type 0,2021-12-24 14:40:29,2022-10-06 17:29:04,2021-12-24 14:40:29,2022-10-06 17:29:04,,,,,
User 0,Esn 6,Device Type 0,2021-12-24 14:40:29,2022-10-06 17:29:04,2021-12-24 14:40:29,2022-10-06 17:29:04,2022-08-03 16:57:01,2022-10-06 17:29:04,2022-08-03 16:57:01,2022-10-06 17:29:04,
User 4,Esn 0,Device Type 5,2021-10-31 07:55:44,2022-09-30 14:54:39,2021-10-31 07:57:20,2022-09-30 14:53:01,2021-10-31 07:55:44,2022-09-30 14:54:39,2021-10-31 07:57:20,2022-09-30 14:53:01,
User 2,Esn 1,Device Type 4,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-01 09:32:16,2022-11-07 12:57:43,,,,,
User 0,Esn 1,Device Type 4,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-01 09:32:16,2022-11-07 12:57:43,,,,,
User 4,Esn 31,Device Type 1,2021-12-20 07:25:51,2022-09-12 04:59:59,2021-12-20 07:25:51,2022-09-12 04:59:59,2021-12-20 07:28:30,2022-09-12 04:59:59,2021-12-20 07:28:30,2022-09-12 04:59:59,
User 4,Esn 1,Device Type 4,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-23 10:31:24,2022-09-04 16:32:31,2022-04-23 10:31:24,2022-09-04 16:32:31,
User 4,Esn 41,Device Type 2,2021-12-24 10:17:58,2022-08-28 14:14:04,2021-12-24 10:17:58,2022-08-03 19:31:35,2021-12-24 10:17:58,2022-08-28 14:14:04,2021-12-24 10:17:58,2022-08-03 19:31:35,
User 0,Esn 4,Device Type 0,2022-08-20 08:12:12,2022-08-20 08:13:35,2022-08-20 08:12:12,2022-08-20 08:13:35,2022-08-20 08:12:12,2022-08-20 08:13:35,2022-08-20 08:12:12,2022-08-20 08:13:35,
User 4,Esn 5,Device Type 2,2022-08-17 06:29:39,2022-08-17 06:29:39,,,2022-08-17 06:29:39,2022-08-17 06:29:39,,,
User 2,Esn 5,Device Type 2,2022-08-17 06:29:39,2022-08-17 06:29:39,,,,,,,
User 3,Esn 5,Device Type 2,2022-08-17 06:29:39,2022-08-17 06:29:39,,,,,,,
User 0,Esn 5,Device Type 2,2022-08-17 06:29:39,2022-08-17 06:29:39,,,,,,,
User 1,Esn 5,Device Type 2,2022-08-17 06:29:39,2022-08-17 06:29:39,,,,,,,
User 4,Esn 4,Device Type 0,2022-08-20 08:12:12,2022-08-20 08:13:35,2022-08-20 08:12:12,2022-08-20 08:13:35,,,,,
User 2,Esn 4,Device Type 0,2022-08-20 08:12:12,2022-08-20 08:13:35,2022-08-20 08:12:12,2022-08-20 08:13:35,,,,,
User 3,Esn 4,Device Type 0,2022-08-20 08:12:12,2022-08-20 08:13:35,2022-08-20 08:12:12,2022-08-20 08:13:35,,,,,
User 1,Esn 4,Device Type 0,2022-08-20 08:12:12,2022-08-20 08:13:35,2022-08-20 08:12:12,2022-08-20 08:13:35,,,,,
User 4,Esn 6,Device Type 0,2021-12-24 14:40:29,2022-10-06 17:29:04,2021-12-24 14:40:29,2022-10-06 17:29:04,2021-12-24 14:40:29,2022-08-09 04:44:47,2021-12-24 14:40:29,2022-08-09 04:44:47,
User 4,Esn 42,Device Type 2,2021-11-03 16:16:21,2022-07-09 15:39:17,2021-11-03 16:16:21,2022-07-09 15:39:17,2021-11-03 16:16:21,2022-07-09 15:39:17,2021-11-03 16:16:21,2022-07-09 15:39:17,
User 4,Esn 7,Device Type 0,2022-06-27 05:10:57,2022-07-01 17:39:31,2022-06-27 05:10:57,2022-07-01 17:39:31,2022-06-27 05:10:57,2022-07-01 17:39:31,2022-06-27 05:10:57,2022-07-01 17:39:31,
User 2,Esn 7,Device Type 0,2022-06-27 05:10:57,2022-07-01 17:39:31,2022-06-27 05:10:57,2022-07-01 17:39:31,,,,,
User 3,Esn 7,Device Type 0,2022-06-27 05:10:57,2022-07-01 17:39:31,2022-06-27 05:10:57,2022-07-01 17:39:31,,,,,
User 0,Esn 7,Device Type 0,2022-06-27 05:10:57,2022-07-01 17:39:31,2022-06-27 05:10:57,2022-07-01 17:39:31,,,,,
User 1,Esn 7,Device Type 0,2022-06-27 05:10:57,2022-07-01 17:39:31,2022-06-27 05:10:57,2022-07-01 17:39:31,,,,,
